case_number,date,time,offense_type,location,arrest_info,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-80228,3/31/2025,1420,Vandalism:deface property (M),660 STANFORD AVE,,37.4257904,-122.15087609999999,"660 Stanford Ave, Stanford, CA 94305, USA","https://maps.google.com/?q=660+Stanford+Ave,+Stanford,+CA+94305,+USA&ftid=0x808fbae79964dfe7:0x99f40565c8bb9d67",street_address,street_address_or_premise
25-01283,4/1/2025,117,Rape by force/fear/etc - Rape (F),ALMA ST,,37.4332845,-122.1478632,"Alma St, Palo Alto, CA, USA","https://maps.google.com/?q=Alma+St,+Palo+Alto,+CA,+USA&ftid=0x808fbaf07bbdb5bd:0xa6fcf912847c6e99",route,route
25-01288,4/1/2025,943,Obtain money/etc by false pretenses [over $400] (F),628 WAVERLEY ST,,37.445779099999996,-122.15877580000002,"628 Waverley St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=13292449444666399100,"premise,street_address",street_address_or_premise
25-80241,4/2/2025,1529,Vehicle Accident/Non Injury,ALMA ST/N CALIFORNIA AVE,,37.429650099999996,-122.14207789999999,"N California Ave & Alma St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=N+California+Ave+%26+Alma+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbae4e849aa23:0xfabb5271b564b5ba",intersection,intersection
25-01329,4/3/2025,1343,Lost Property,778 MORENO AVE,,37.4362007,-122.12858109999999,"778 Moreno Ave, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=12968665440153204105,"premise,street_address",street_address_or_premise
25-01332,4/3/2025,1528,Child abuse w/o gbi/dth - Simple (M),EVERETT AVE,,37.449303,-122.1623397,"Everett Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=5190860080901599826,route,route
25-01340,4/4/2025,1111,Suspicious Circumstances,850 WEBSTER ST,,37.4463527,-122.1541868,"850 Webster St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=8169906365806318598,"premise,street_address",street_address_or_premise
25-80243,4/4/2025,1527,Vehicle Accident/Non Injury,ALMA ST/HAMILTON AVE,,37.4426893,-122.1627721,"Hamilton Ave & Alma St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Hamilton+Ave+%26+Alma+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb3a717023e7:0x16b7b32e161110b2",intersection,intersection
25-80242,4/4/2025,1624,Lost Property,762 GAILEN CT,,37.4226916,-122.1077626,"762 Gailen Ct, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=1747165771262315307,"premise,street_address",street_address_or_premise
25-01347,4/4/2025,1928,Take vehicle w/o owners consent/vehicle theft - Stolen property (F),474 MATADERO AVE,,37.4194496,-122.1335895,"474 Matadero Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=559670072128925050,street_address,street_address_or_premise
25-80244,4/5/2025,1104,Vandalism:deface property (M),272 WAVERLEY ST,,37.448814999999996,-122.163435,"272 Waverley St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=9821678904252363673,street_address,street_address_or_premise
25-01351,4/5/2025,1542,Battery on person - Simple (M),4180 EL CAMINO REAL,,37.4108121,-122.1245258,"4180 El Camino Real, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=3203124993806327495,"premise,street_address",street_address_or_premise
25-80245,4/5/2025,1731,Burglary - From motor vehicle (F),1237 ALMA ST,,37.4378251,-122.1544926,"1237 Alma St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=5073173743628301984,street_address,street_address_or_premise
25-01363,4/6/2025,2035,Take vehicle w/o owners consent/vehicle theft - Motor vehicle theft (F),.400 BLK EMERSON ST.,,37.445248899999996,-122.164006,"400 Emerson St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=13469935610564894791,street_address,street_address_or_premise
25-01368,4/7/2025,937,Battery:spouse/ex spouse/date/etc - Simple (M),PARK BLVD,"BALCAZARMORALES, LARRY (M/H), DOB: 1988-08-11, PALO ALTO, Charges: 243(E)(1) PC, Booked",37.4228685,-122.1328274,"Park Blvd, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=11205841697816294989,route,route
25-01369,4/7/2025,1043,FOUND PROPERTY,275 FOREST AVE,,37.4442196,-122.15960210000001,"275 Forest Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=95238810619628067,"subpremise,street_address",street_address_or_premise
25-01370,4/7/2025,1248,Petty theft w/2 or more priors - Shoplifting (F),180 EL CAMINO REAL,"RIDLEY, ROBERT D (M/B), DOB: 1974-03-27, SANTA CLARA, Charges: 666.1(A)(1) PC, 148.9(A) PC, 11364(A) HS, Outside Warrant/F, Outside Warrant/M, Booked",37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
25-01371,4/7/2025,1303,FOUND PROPERTY,275 FOREST AVE,,37.4442196,-122.15960210000001,"275 Forest Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=95238810619628067,"subpremise,street_address",street_address_or_premise
25-01372,4/7/2025,1544,COURTESY REPORT,1520 EMERSON ST,,37.436452599999996,-122.15010399999998,"1520 Emerson St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=18080470033142750950,"premise,street_address",street_address_or_premise
25-01376,4/7/2025,1613,Disorderly conduct:under influence of drug - Disorderly conduct (M),.300 UNIVERSITY AVE,"JUVENILE, Charges: 647(F) PC, 25662(A) BP, Booked",37.445934099999995,-122.16124309999998,"300 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=11943660378385641275,"subpremise,street_address",street_address_or_premise
