case_number,date,time,offense_type,location,arrest_info,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-01287,4/1/2025,1040,Theft of personal property - Shoplifting (M),2170 W BAYSHORE RD,"RANGEL, JESSE SHAWN JR (M/H/1995-02-07) - EAST PALO ALTO - 484(A) PC - Booked",37.4483113,-122.12544899999997,"2170 W Bayshore Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=300227103122615881,"premise,street_address",street_address_or_premise
25-01293,4/1/2025,1201,Bench warrant/failure to appear on misdemeanor charge (M),630 DONOHOE ST,"ROMERO, ISRAEL (M/H/1988-11-17) - EAST PALO ALTO - 978.5 PC - Booked",37.462395799999996,-122.14128459999999,"630 Donohoe St, East Palo Alto, CA 94303, USA",https://maps.google.com/?cid=6589792727185197497,"premise,street_address",street_address_or_premise
25-01293,4/1/2025,1201,Bench warrant/failure to appear on misdemeanor charge (M),630 DONOHOE ST,"ARANAVILLANUEVA, ALONDRA LIZBETH (F/H/1996-11-15) - EAST PALO ALTO - Outside Warrant/M - Cited",37.462395799999996,-122.14128459999999,"630 Donohoe St, East Palo Alto, CA 94303, USA",https://maps.google.com/?cid=6589792727185197497,"premise,street_address",street_address_or_premise
25-01293,4/1/2025,1201,Bench warrant/failure to appear on misdemeanor charge (M),630 DONOHOE ST,"RICOPACHECO, EULALIO (M/H/1968-03-12) - EAST PALO ALTO - Outside Warrant/M - Cited",37.462395799999996,-122.14128459999999,"630 Donohoe St, East Palo Alto, CA 94303, USA",https://maps.google.com/?cid=6589792727185197497,"premise,street_address",street_address_or_premise
25-01293,4/1/2025,1201,Bench warrant/failure to appear on misdemeanor charge (M),630 DONOHOE ST,"MORALESZARATE, MILTON (M/H/1980-11-09) - EAST PALO ALTO - Outside Warrant/M - Booked",37.462395799999996,-122.14128459999999,"630 Donohoe St, East Palo Alto, CA 94303, USA",https://maps.google.com/?cid=6589792727185197497,"premise,street_address",street_address_or_premise
25-01298,4/1/2025,1647,Dui alcohol (M),EMBARCADERO RD/E BAYSHORE RD,"AGUILERACHAVEZ, JULIO CESAR (M/H/1989-04-04) - EAST PALO ALTO - 23152(A) VC - Booked",37.4496507,-122.11967109999998,"E Bayshore Rd & Embarcadero Rd, Palo Alto, CA 94303, USA","https://maps.google.com/?q=E+Bayshore+Rd+%26+Embarcadero+Rd,+Palo+Alto,+CA+94303,+USA&ftid=0x808fbbae4ee9b84f:0x34d3fa6f1f0b0920",intersection,intersection
25-01335,4/4/2025,615,Outside Warrant Arrest - Felony,3801 MIRANDA AVE,"MINTON, RICKY (M/W/1957-12-28) - VACAVILLE - Outside Warrant/F - Booked",37.4033348,-122.13721849999999,"Bldg T6, 3801 Miranda Ave, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=2356658483802008728,"premise,street_address",street_address_or_premise
25-01350,4/5/2025,1442,Outside Warrant Arrest - Misdemeanor,COWPER ST/HAMILTON AVE,"MUHAMMAD, IBNABDULHAFIZ (M/B/1988-01-21) - HAYWARD - Outside Warrant/M - Booked",37.4475306,-122.15797420000001,"Cowper St & Hamilton Ave, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Cowper+St+%26+Hamilton+Ave,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb392e0e2035:0xdd7ae11b0603796",intersection,intersection
25-01353,4/5/2025,1832,Give false id to po - All other offenses (M),200 UNIVERSITY AVE,"CLARKE, ERIC JEROME (M/B/1971-06-03) - PALO ALTO - 148.9(A) PC, 25620(a) BP - Booked",37.444702,-122.162411,"200 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=14195623155327218602,street_address,street_address_or_premise
25-01354,4/5/2025,1941,Possess unlawful paraphernalia (M),95 UNIVERSITY AVE,"MCGARY, DAVONNE CORREN (F/B/1975-12-18) - PALO ALTO - 11364(A) HS, 978.5 PC - Booked",37.4434368,-122.1651672,"95 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=3689665010728101625,"premise,street_address",street_address_or_premise
25-01355,4/5/2025,2038,Bench warrant/failure to appear on misdemeanor charge (M),250 HAMILTON AVE,"ANTONI, RONALD RAYMOND (M/W/1954-05-26) - PALO ALTO - 978.5 PC - Booked",37.444215,-122.1596371,"250 Hamilton Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=8504657287920517765,"premise,street_address",street_address_or_premise
25-01358,4/6/2025,832,Vandalism ($400 or more) (F),400 UNIVERSITY AVE,"BELETE, EFREME (M/O/1985-11-13) - PALO ALTO - 594(B)(1) PC - Booked",37.4472036,-122.16003189999998,"400 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=8093713334360921479,"premise,street_address",street_address_or_premise
25-01359,4/6/2025,1135,Bench warrant/failure to appear on misdemeanor charge (M),300 BRADFORD ST,"DIAZAMBRIZ, JONATHAN (M/H/1995-04-05) - EAST PALO ALTO - 978.5 PC - Booked",37.487886499999995,-122.23157549999999,"300 Bradford St, Redwood City, CA 94063, USA",https://maps.google.com/?cid=11820836905712771281,"premise,street_address",street_address_or_premise
25-01366,4/6/2025,2218,Battery:spouse/ex spouse/date/etc - Simple (M),PARK BLVD,"MENDOZAMARIN, JESSICA (F/H/1990-01-02) - PALO ALTO - 243(E)(1) PC - Booked",37.4228685,-122.1328274,"Park Blvd, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=11205841697816294989,route,route
