case_number,date,time,offense_type,location,arrest_info,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-01223,3/27/2025,929,Burglary - Burglary/breaking and entering (F),913 EL CAJON WAY,,37.4424705,-122.12894849999999,"913 El Cajon Way, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=12535047792178163180,"premise,street_address",street_address_or_premise
25-01246,3/29/2025,814,Burglary - Burglary/breaking and entering (F),535 ARASTRADERO RD,,37.4090055,-122.12344139999999,"535 Arastradero Rd, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=10795717329918837823,"premise,street_address",street_address_or_premise
25-01264,3/30/2025,1128,Grand theft:money/labor/property - From building (F),668 RAMONA ST,,37.4436247,-122.1600632,"668 Ramona St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=7330913330337466517,"premise,street_address",street_address_or_premise
25-01279,3/31/2025,2023,Burglary - Burglary/breaking and entering (F),783 TALISMAN CT,,37.4271046,-122.11460930000001,"783 Talisman Ct, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=7458814836826745123,"premise,street_address",street_address_or_premise
25-01328,4/3/2025,1150,Vehicle Accident/Non Injury,OREGON EXPR/ALMA ST,,37.4468394,-122.1681278,"101 Alma St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=17547375108891140604,"condominium_complex,point_of_interest,establishment",specific_place
25-01352,4/5/2025,1706,Vehicle Accident/Non Injury,2675 MIDDLEFIELD RD,,37.434028399999995,-122.12954739999999,"2675 Middlefield Rd, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=3757611220665581614,street_address,street_address_or_premise
25-01393,4/9/2025,840,Vehicle Accident/Injury,.4100 EL CAMINO WAY,,37.414134499999996,-122.12543319999999,"4100 El Camino Way, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=1420009526783358474,street_address,street_address_or_premise
25-01395,4/9/2025,1357,FOUND PROPERTY,275 FOREST AVE,,37.4442196,-122.15960210000001,"275 Forest Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=95238810619628067,"subpremise,street_address",street_address_or_premise
25-01403,4/9/2025,2044,Burglary - Burglary/breaking and entering (F),127 GREENMEADOW WAY,,37.4132478,-122.11529939999998,"127 Greenmeadow Way, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=639609900080385676,"premise,street_address",street_address_or_premise
25-01410,4/10/2025,1904,Vehicle Accident/Injury,FOREST AVE/ALMA ST,,37.4419064,-122.1615254,"Forest Ave & Alma St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Forest+Ave+%26+Alma+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb3af40808c1:0xd1d3e7a81b5d8d62",intersection,intersection
