case_number,date,time,offense_type,location,arrest_info,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-00981,3/10/2025,651,Vehicle Accident/Injury,700 E CHARLESTON RD,,37.420507199999996,-122.10827030000002,"700 E Charleston Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=415966570215805198,street_address,street_address_or_premise
25-01194,3/25/2025,1325,Vehicle Accident/Injury,ALMA ST/FOREST AVE,,37.4419064,-122.1615254,"Forest Ave & Alma St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Forest+Ave+%26+Alma+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb3af40808c1:0xd1d3e7a81b5d8d62",intersection,intersection
25-01227,3/27/2025,1320,Personate to get money/property [over $400] - Impersonation (F),574 ARASTRADERO RD,,37.4092668,-122.12637809999998,"574 Arastradero Rd, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=162037127346049883,"premise,street_address",street_address_or_premise
25-01270,3/31/2025,1133,Grand theft:money/labor/property - Motor vehicle parts/accessories (F),1177 AMARILLO AVE,,37.4450584,-122.12069369999999,"1177 Amarillo Ave, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=17493331118692785934,"premise,street_address",street_address_or_premise
25-01297,4/1/2025,1633,Grand theft:money/labor/property - All other larceny (F),EMBARCADERO RD,,37.4457301,-122.1306756,"Embarcadero Rd, Palo Alto, CA, USA",https://maps.google.com/?cid=13727010580694448510,route,route
25-01299,4/2/2025,722,Vandalism:damage property (M),1011 MORENO AVE,,37.4425849,-122.1234472,"1011 Moreno Ave, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=11701404310876291063,"premise,street_address",street_address_or_premise
25-01305,4/2/2025,1752,Grand theft:money/labor/property - All other larceny (M),171 UNIVERSITY AVE,,37.444542,-122.16317529999999,"171 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=3663799386503035531,"subpremise,street_address",street_address_or_premise
25-01324,4/3/2025,322,Burglary - Burglary/breaking and entering (F),352 UNIVERSITY AVE,,37.4464306,-122.1605461,"352 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=13793715162782932768,"premise,street_address",street_address_or_premise
25-01323,4/3/2025,331,Burglary - Burglary/breaking and entering (F),855 EL CAMINO REAL,,37.4389939,-122.1588204,"855 El Camino Real, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=11118077703284017645,street_address,street_address_or_premise
25-01336,4/4/2025,657,Obtain money/etc by false pretenses [over $400] (F),2106 OBERLIN ST,,37.421915899999995,-122.15249580000001,"2106 Oberlin St, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=3810816207443178708,"premise,street_address",street_address_or_premise
25-01341,4/4/2025,1343,Grand theft:money/labor/property - All other larceny (F),1560 SAND HILL RD,,37.4321384,-122.18688829999999,"1560 Sand Hill Rd, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=14687464090596093708,"premise,street_address",street_address_or_premise
25-01346,4/4/2025,1730,Theft of personal property - All other larceny (M),MIDDLEFIELD RD,,37.4483883,-122.1530899,"Middlefield Rd, Palo Alto, CA, USA","https://maps.google.com/?q=Middlefield+Rd,+Palo+Alto,+CA,+USA&ftid=0x808fa35b186a39fb:0x5984eee2a66a9cc2",route,route
25-01356,4/6/2025,240,Burglary - From motor vehicle (F),1032 ELWELL CT,,37.431965,-122.10301459999998,"US-PAO-EW32, 1032 Elwell Ct, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=12099400535542139267,"premise,street_address",street_address_or_premise
25-01357,4/6/2025,759,Burglary - Burglary/breaking and entering (F),490 CALIFORNIA AVE,,37.4254691,-122.1459088,"490 California Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=17278969293295857370,"premise,street_address",street_address_or_premise
25-01360,4/6/2025,1647,Trespass:occupy property without consent (M),432 COLLEGE AVE,,37.427334800000004,-122.14703739999999,"432 College Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=17179414158925171686,"premise,street_address",street_address_or_premise
25-01374,4/7/2025,1312,Obtain credit/etc:use others id - Identity theft (M),870 BOYCE AVE,,37.4506084,-122.1505442,"870 Boyce Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=6041414844738140766,"premise,street_address",street_address_or_premise
25-01373,4/7/2025,1511,Burglary - Burglary/breaking and entering (F),290 LOWELL AVE,,37.436194,-122.1466851,"290 Lowell Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=526072340099231121,"premise,street_address",street_address_or_premise
25-80247,4/7/2025,1902,Petty theft - From building (M),340 UNIVERSITY AVE,,37.4463033,-122.16065700000001,"340 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=4069877474299698672,"premise,street_address",street_address_or_premise
25-80250,4/7/2025,2014,Petty theft - From building (M),4211 RICKEYS WAY,,37.410274799999996,-122.12159750000001,"4211 Rickeys Way, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=14876440871252856438,"premise,street_address",street_address_or_premise
25-80249,4/8/2025,847,Grand theft:money/labor/property - From motor vehicle (F),BRYANT ST/LYTTON AVE,,37.4467061,-122.16289520000001,"Lytton Ave & Bryant St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Lytton+Ave+%26+Bryant+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb382c8316e9:0x2dd25110bf5b5f65",intersection,intersection
25-01383,4/8/2025,1438,COURTESY REPORT,16 TULIP LN,,37.4476258,-122.1289991,"16 Tulip Ln, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=1217298588599576432,"premise,street_address",street_address_or_premise
25-80253,4/8/2025,1801,Vandalism:deface property (M),168 WAVERLEY ST,,37.449715999999995,-122.16505699999998,"168 Waverley St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=5867117236813743730,"premise,street_address",street_address_or_premise
25-01391,4/8/2025,2104,Vandalism:damage property (M),HIGH ST/LYTTON AVE,,37.444699,-122.16447300000002,"Palo Alto, CA 94301, USA",https://maps.google.com/?cid=15760438884227995216,"bus_stop,transit_station,point_of_interest,establishment",specific_place
25-01394,4/9/2025,1346,FOUND PROPERTY,275 FOREST AVE,,37.4442196,-122.15960210000001,"275 Forest Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=95238810619628067,"subpremise,street_address",street_address_or_premise
25-01397,4/9/2025,1601,Mental Health Evaluation,ARASTRADERO RD,,37.391469,-122.1507128,"Arastradero Rd, Palo Alto, CA, USA","https://maps.google.com/?q=Arastradero+Rd,+Palo+Alto,+CA,+USA&ftid=0x808fbaa6cffbbee9:0xef6ecc8c88d70b7a",route,route
25-01401,4/9/2025,1714,Burglary - Burglary/breaking and entering (F),289 DAVENPORT WAY,,37.415771,-122.1234388,"289 Davenport Way, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=15083609794891577360,"premise,street_address",street_address_or_premise
25-01402,4/9/2025,1906,Theft of personal property - From building (M),753 ALMA ST,,37.441708999999996,-122.1606127,"753 Alma St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=9841470199571918057,"premise,street_address",street_address_or_premise
